9,あじさいの開花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番号,地点名,1953,rm,1954,rm,1955,rm,1956,rm,1957,rm,1958,rm,1959,rm,1960,rm,1961,rm,1962,rm,1963,rm,1964,rm,1965,rm,1966,rm,1967,rm,1968,rm,1969,rm,1970,rm,1971,rm,1972,rm,1973,rm,1974,rm,1975,rm,1976,rm,1977,rm,1978,rm,1979,rm,1980,rm,1981,rm,1982,rm,1983,rm,1984,rm,1985,rm,1986,rm,1987,rm,1988,rm,1989,rm,1990,rm,1991,rm,1992,rm,1993,rm,1994,rm,1995,rm,1996,rm,1997,rm,1998,rm,1999,rm,2000,rm,2001,rm,2002,rm,2003,rm,2004,rm,2005,rm,2006,rm,2007,rm,2008,rm,2009,rm,2010,rm,2011,rm,2012,rm,2013,rm,2014,rm,2015,rm,2016,rm,2017,rm,2018,rm,2019,rm,2020,rm,2021,rm,2022,rm,2023,rm,2024,rm,2025,rm,2026,rm,2027,rm,2028,rm,2029,rm,2030,rm,2031,rm,2032,rm,平年値,rm,最早値,rm,最早年,最晩値,rm,最晩年
401,稚内　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,8,0,0,828,8,806,8,809,8,814,8,831,8,820,8,814,8,804,8,813,8,810,8,824,8,806,8,810,8,807,8,814,8,808,8,820,8,825,8,809,8,811,8,807,8,802,8,807,8,804,8,812,8,807,8,801,8,814,8,726,8,801,8,729,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,8,726,8,2021,831,8,1997
406,留萌　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,8,721,8,728,8,731,8,726,8,723,8,725,8,716,8,719,8,726,8,726,8,720,8,721,8,728,8,722,8,722,8,725,8,721,8,721,8,716,8,728,8,720,8,719,8,724,8,721,8,725,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,8,2002,731,8,1986
407,旭川　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,8,804,8,726,8,717,8,721,8,713,8,718,8,724,8,801,8,720,8,720,8,723,8,723,8,717,8,720,8,723,8,725,8,716,8,721,8,721,8,721,9,720,9,721,9,715,9,723,9,719,9,723,9,725,9,721,9,0,0,721,9,721,9,718,9,720,8,717,8,720,8,713,8,715,8,706,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,8,706,8,2023,804,8,1986
409,網走　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,8,802,8,812,8,821,8,825,8,0,0,818,8,0,0,804,8,802,8,823,8,0,0,801,8,0,0,819,8,805,8,731,8,803,8,811,8,823,8,0,0,728,8,804,8,803,8,814,8,805,8,815,8,802,8,807,8,802,8,803,8,728,8,801,8,802,8,804,8,808,8,803,8,730,8,728,8,725,8,725,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,8,725,8,2023,825,8,1987
412,札幌　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,8,727,8,724,8,721,8,723,8,0,0,716,8,718,8,722,8,722,8,717,8,717,8,723,8,719,8,713,8,716,8,717,8,715,8,712,8,714,8,714,8,720,8,720,8,715,8,712,8,714,8,716,8,720,8,714,8,718,8,711,8,714,8,713,8,712,8,716,8,710,8,713,8,713,8,708,8,705,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,8,705,8,2023,727,8,1985
413,岩見沢　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,8,721,8,724,8,728,9,723,9,730,9,727,8,719,8,724,8,727,8,803,8,721,8,725,8,727,8,725,8,723,8,724,8,719,8,723,8,720,8,801,8,722,8,725,8,727,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,719,8,2000,803,8,1993
417,帯広　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,8,0,0,0,0,723,8,725,8,730,8,816,8,0,0,0,0,813,8,0,0,0,0,0,0,725,8,807,8,728,8,731,8,722,8,801,8,804,8,0,0,0,0,811,8,809,8,801,8,811,8,801,8,0,0,724,8,727,8,726,8,725,8,0,0,802,8,729,8,720,8,714,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,8,714,8,2023,816,8,1993
418,釧路　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,根室　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,8,2000,810,8,2000
423,室蘭　　,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,8,0,0,802,8,813,8,812,8,815,8,811,8,726,8,725,8,811,8,819,8,812,8,803,8,818,8,818,8,804,8,805,8,803,8,812,8,810,8,827,8,729,8,807,8,806,8,803,8,731,8,806,8,731,8,802,8,803,8,808,8,730,8,727,8,803,8,804,8,809,8,0,0,0,0,728,8,814,8,724,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,8,724,8,2023,827,8,2003
